Inches,Pixels,Kicker,Shooter,Hood
59.9,414,6039,6903,1699
60.2,413,6039,6898,1700
60.4,412,6039,6894,1701
60.7,411,6040,6890,1702
60.9,410,6040,6888,1703
61.1,409,6040,6886,1704
61.4,408,6040,6885,1706
61.6,407,6040,6885,1707
61.8,406,6040,6886,1708
62.1,405,6040,6887,1709
62.3,404,6040,6889,1710
62.6,403,6040,6891,1712
62.8,402,6039,6894,1713
63.1,401,6039,6897,1714
63.3,400,6039,6900,1715
63.5,399,6039,6904,1717
63.8,398,6038,6909,1718
64.0,397,6038,6913,1719
64.3,396,6038,6918,1721
64.5,395,6038,6924,1722
64.8,394,6038,6929,1723
65.0,393,6039,6935,1725
65.3,392,6039,6940,1726
65.5,391,6040,6946,1727
65.8,390,6040,6953,1729
66.0,389,6041,6959,1730
66.3,388,6042,6965,1732
66.6,387,6043,6971,1733
66.8,386,6045,6978,1735
67.1,385,6046,6984,1736
67.3,384,6047,6991,1738
67.6,383,6049,6997,1739
67.9,382,6051,7004,1741
68.1,381,6053,7010,1742
68.4,380,6055,7016,1744
68.7,379,6057,7023,1745
68.9,378,6059,7029,1747
69.2,377,6061,7035,1748
69.5,376,6063,7041,1750
69.8,375,6065,7047,1752
70.1,374,6068,7053,1753
70.3,373,6070,7059,1755
70.6,372,6072,7064,1757
70.9,371,6075,7070,1759
71.2,370,6077,7075,1760
71.5,369,6079,7080,1762
71.8,368,6082,7085,1764
72.1,367,6084,7090,1766
72.3,366,6086,7095,1767
72.6,365,6088,7100,1769
72.9,364,6090,7105,1771
73.2,363,6093,7109,1773
73.5,362,6095,7113,1775
73.8,361,6097,7117,1777
74.1,360,6099,7121,1779
74.5,359,6101,7125,1781
74.8,358,6103,7129,1783
75.1,357,6105,7133,1785
75.4,356,6106,7136,1787
75.7,355,6108,7139,1789
76.0,354,6110,7143,1791
76.3,353,6111,7146,1793
76.7,352,6113,7149,1795
77.0,351,6115,7152,1797
77.3,350,6116,7154,1799
77.6,349,6118,7157,1801
78.0,348,6119,7160,1804
78.3,347,6120,7162,1806
78.6,346,6122,7165,1808
79.0,345,6123,7167,1810
79.3,344,6124,7169,1813
79.7,343,6126,7172,1815
80.0,342,6127,7174,1817
80.4,341,6109,7141,1820
80.7,340,6111,7144,1822
81.1,339,6112,7147,1824
